Time,Pressure_bar
21.921000,-85.235459
21.941000,-85.181862
21.961000,-85.449845
21.981000,-85.168463
22.001000,-85.195261
22.021000,-85.235459
22.041000,-85.409647
22.061000,-85.235459
22.081000,-85.181862
22.101000,-85.235459
22.121000,-85.222060
22.141000,-85.222060
22.161000,-85.195261
22.181000,-85.423046
22.201000,-85.195261
22.221000,-85.034472
22.241000,-85.208661
22.261000,-85.195261
22.281000,-85.195261
22.301000,-85.047871
22.321000,-85.195261
22.341000,-85.195261
22.361000,-85.074669
22.381000,-85.195261
22.401000,-85.168463
22.421000,-85.195261
22.441000,-85.034472
22.461000,-85.168463
22.497000,-85.248858
22.503000,-85.181862
22.526000,-85.449845
22.541000,-85.168463
22.561000,-85.208661
22.581000,-85.061270
22.601000,-85.449845
22.621000,-85.208661
22.641000,-85.208661
22.661000,-85.436445
22.681000,-85.181862
22.701000,-85.222060
22.721000,-85.208661
22.741000,-85.396248
22.761000,-85.208661
22.781000,-85.208661
22.801000,-85.222060
22.821000,-85.208661
22.841000,-85.222060
22.861000,-85.181862
22.881000,-85.061270
22.901000,-85.409647
22.921000,-85.222060
22.941000,-85.195261
22.961000,-85.436445
22.981000,-85.181862
23.001000,-85.222060
23.021000,-85.222060
23.041000,-85.463244
23.061000,-85.195261
23.081000,-85.195261
23.101000,-85.222060
23.121000,-85.181862
23.141000,-85.222060
23.161000,-85.222060
23.181000,-85.436445
23.203000,-85.208661
23.222000,-85.061270
23.242000,-85.222060
23.262000,-85.181862
23.281000,-85.181862
23.301000,-85.088069
23.322000,-85.181862
23.341000,-85.195261
23.361000,-85.034472
23.381000,-85.208661
23.401000,-85.181862
23.421000,-85.208661
23.441000,-85.061270
23.461000,-85.168463
23.482000,-85.235459
23.501000,-85.195261
23.521000,-85.436445
23.541000,-85.168463
23.561000,-85.181862
23.584000,-85.061270
23.603000,-85.449845
23.626000,-85.208661
23.643000,-85.208661
23.661000,-85.449845
23.681000,-85.181862
23.701000,-85.222060
23.721000,-85.208661
23.741000,-85.409647
23.761000,-85.208661
23.781000,-85.181862
23.801000,-85.222060
23.821000,-85.222060
23.841000,-85.181862
23.861000,-85.222060
23.881000,-85.436445
23.901000,-85.262257
23.921000,-85.061270
23.941000,-85.248858
23.961000,-85.181862
23.982000,-85.222060
24.001000,-85.047871
24.021000,-85.181862
24.041000,-85.222060
24.061000,-85.034472
24.081000,-85.208661
24.101000,-85.168463
24.121000,-85.208661
24.141000,-85.061270
24.161000,-85.181862
24.181000,-85.208661
24.201000,-85.181862
24.221000,-85.423046
24.242000,-85.168463
24.261000,-85.181862
24.281000,-85.047871
24.301000,-85.409647
24.322000,-85.208661
24.341000,-85.195261
24.361000,-85.463244
24.381000,-85.195261
24.401000,-85.208661
24.421000,-85.208661
24.442000,-85.436445
24.461000,-85.235459
24.482000,-85.181862
24.501000,-85.248858
24.521000,-85.195261
24.541000,-85.195261
24.561000,-85.222060
24.581000,-85.449845
24.601000,-85.235459
24.621000,-85.061270
24.641000,-85.222060
24.661000,-85.208661
24.681000,-85.195261
24.701000,-85.047871
24.721000,-85.168463
24.747000,-85.195261
24.765000,-85.047871
24.785000,-85.208661
24.801000,-85.195261
24.821000,-85.208661
24.841000,-85.181862
24.861000,-85.181862
24.881000,-85.047871
24.902000,-85.195261
24.921000,-85.235459
24.941000,-85.061270
24.961000,-85.423046
24.981000,-85.181862
25.002000,-85.222060
25.021000,-85.235459
25.041000,-85.195261
25.061000,-85.195261
25.081000,-85.195261
25.101000,-85.423046
25.121000,-85.208661
25.141000,-85.208661
25.162000,-85.222060
25.181000,-85.449845
25.201000,-85.222060
25.221000,-85.047871
25.242000,-85.423046
25.262000,-85.222060
25.282000,-85.208661
25.302000,-85.208661
25.322000,-85.141665
25.342000,-85.195261
25.362000,-85.021073
25.382000,-85.168463
25.402000,-85.208661
25.422000,-85.208661
25.442000,-85.248858
25.462000,-85.195261
25.482000,-85.195261
25.502000,-85.061270
25.522000,-85.436445
25.542000,-85.195261
25.562000,-85.208661
25.582000,-85.034472
25.602000,-85.181862
25.622000,-85.235459
25.641000,-85.061270
25.661000,-85.449845
25.682000,-85.168463
25.701000,-85.195261
25.721000,-85.235459
25.742000,-85.168463
25.762000,-85.208661
25.782000,-85.021073
25.802000,-85.436445
25.822000,-85.195261
25.847000,-85.195261
25.865000,-85.208661
25.886000,-85.449845
25.902000,-85.235459
25.922000,-85.047871
25.942000,-85.423046
25.962000,-85.208661
25.981000,-85.235459
26.002000,-85.235459
26.022000,-85.155064
26.042000,-85.208661
26.062000,-85.047871
26.082000,-85.235459
26.102000,-85.222060
26.122000,-85.181862
26.142000,-85.235459
26.162000,-85.155064
26.182000,-85.208661
26.202000,-85.047871
26.222000,-85.423046
26.242000,-85.195261
26.262000,-85.168463
26.282000,-85.047871
26.302000,-85.168463
26.322000,-85.195261
26.342000,-85.047871
26.362000,-85.449845
26.382000,-85.181862
26.402000,-85.181862
26.422000,-85.195261
26.442000,-85.181862
